Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HELO,AELO
E1,29/02/2020,Luton,Stoke,1,1,D,0,1,A,9,9,3,4,11,9,4,6,1,1,0,0,3.3,3.4,2.2,1389.275635,1480.177856
E1,08/02/2020,Barnsley,Sheffield Weds,1,1,D,1,1,D,12,6,4,2,7,19,6,6,1,2,0,0,2.75,3.4,2.5,1389.665039,1518.741699
E1,07/12/2019,Luton,Wigan,2,1,H,0,1,A,18,11,5,1,9,18,8,3,1,2,0,1,2.4,3.5,2.87,1390.418823,1403.27417
E1,07/07/2020,Luton,Barnsley,1,1,D,1,1,H,10,21,5,7,12,14,3,11,4,2,0,0,2.9,3.3,2.45,1390.62439,1416.474243
E1,30/03/2019,Wigan,Brentford,0,0,D,0,0,D,10,13,3,1,19,14,6,5,1,2,0,0,3.3,3.6,2.25,1390.677246,1521.778442
E1,11/02/2020,Barnsley,Birmingham,0,1,A,0,1,D,9,11,4,2,8,8,3,5,1,1,0,0,2.55,3.4,2.75,1391.851807,1482.484741
E1,10/04/2019,Rotherham,Aston Villa,1,2,A,1,0,H,19,15,6,8,17,8,8,7,3,1,0,1,5,4,1.72,1393.599976,1591.371826
E1,22/04/2019,Rotherham,Birmingham,1,3,A,1,0,H,9,16,1,8,14,13,7,6,3,1,0,0,2.8,3.5,2.6,1394.611816,1478.837769
E1,08/12/2018,Wigan,Derby,0,1,A,0,1,A,7,16,2,5,9,14,1,6,1,2,1,0,3.4,3.4,2.3,1395.086182,1527.977783
E1,18/07/2020,Hull,Luton,0,1,A,0,1,D,8,16,2,4,25,11,3,6,1,2,0,0,2.5,3.6,2.62,1395.446655,1405.112915
E1,16/03/2019,Rotherham,Norwich,1,2,A,0,1,A,13,13,5,4,13,7,4,6,2,2,0,0,5.5,4.2,1.65,1395.765625,1601.251221
E1,08/12/2018,Reading,Sheffield United,0,2,A,0,0,D,6,13,0,5,10,17,4,9,1,1,0,0,4.75,3.8,1.8,1396.457397,1493.278198
E1,01/01/2019,Blackburn,West Brom,2,1,H,0,0,D,10,14,4,6,14,12,3,6,3,3,0,1,3.1,3.6,2.37,1397.466797,1597.967651
E1,14/04/2019,Wigan,Norwich,1,1,D,1,0,H,17,13,4,4,19,13,5,8,2,2,0,0,4.33,4.2,1.8,1397.995239,1616.088745
E1,26/12/2019,Barnsley,West Brom,1,1,D,0,1,A,22,7,8,2,8,15,6,2,1,3,0,0,4.33,3.8,1.8,1398.228638,1651.137817
E1,11/12/2019,Wigan,West Brom,1,1,D,0,1,D,14,6,5,2,14,14,4,3,1,2,0,0,5.5,3.75,1.66,1398.757446,1653.037598
E1,09/03/2019,Reading,Wigan,3,2,H,1,1,D,9,18,4,8,12,16,3,3,3,3,0,0,2.62,3.3,2.9,1401.36731,1384.717651
E1,28/01/2020,Wigan,Sheffield Weds,2,1,H,0,1,A,17,9,5,4,8,15,7,3,0,0,0,0,2.8,3.2,2.6,1403.303833,1530.730347
E1,11/01/2020,Barnsley,Huddersfield,2,1,H,1,1,H,7,10,2,2,13,22,4,4,2,5,0,0,2.15,3.6,3.25,1403.570923,1461.646118
E1,26/11/2019,Luton,Charlton,2,1,H,1,1,D,16,10,4,2,9,11,5,9,3,1,0,0,2.1,3.6,3.3,1404.069336,1459.813965
E1,15/09/2019,Barnsley,Leeds,0,2,A,0,1,D,17,21,6,7,11,11,5,9,1,0,0,0,6.5,4.33,1.5,1404.775146,1579.184448
E1,14/07/2020,Luton,QPR,1,1,D,1,1,H,11,11,3,5,9,15,6,4,1,0,0,0,2.37,3.5,2.9,1405.552002,1434.467285
E1,14/12/2019,Wigan,Huddersfield,1,1,D,1,1,H,7,4,2,4,13,20,3,2,1,2,0,0,2.5,3.2,2.87,1405.812988,1471.287476
E1,18/07/2020,Charlton,Wigan,2,2,D,1,1,A,15,16,4,6,13,19,8,0,1,3,0,0,4,3.4,1.95,1406.589966,1504.542603
E1,21/01/2020,Barnsley,Preston,0,3,A,0,1,A,10,14,3,3,17,10,7,1,1,1,0,0,2.6,3.4,2.7,1407.33374,1508.328247
E1,12/03/2019,Reading,Leeds,0,3,A,0,3,A,9,13,5,6,17,12,3,3,1,3,0,0,5.25,4,1.7,1407.33374,1551.699097
E1,04/07/2020,Luton,Reading,0,5,A,0,1,A,5,16,1,10,11,13,4,3,0,1,0,0,2.6,3.25,2.8,1407.718506,1468.593018
E1,19/10/2019,Luton,Bristol City,3,0,H,0,1,D,12,10,5,2,10,11,8,7,2,2,0,0,2.6,3.4,2.7,1408.733398,1554.767334
E1,27/06/2020,Charlton,QPR,1,0,H,1,1,H,12,6,5,1,11,11,10,1,1,0,0,0,3.3,3.4,2.2,1408.953857,1461.819946
E1,23/11/2019,Luton,Leeds,1,2,A,0,1,D,11,21,5,12,7,11,4,8,0,1,0,0,6.5,4.33,1.5,1409.258667,1586.514771
E1,22/02/2020,Barnsley,Middlesbrough,1,0,H,0,1,D,18,5,4,0,8,7,6,2,2,0,0,0,2.45,3.4,2.87,1409.402344,1493.821167
E1,26/12/2019,Wigan,Derby,1,1,D,0,1,D,11,7,4,3,12,22,10,2,1,3,0,0,2.4,3.3,3,1410.065918,1490.469971
E1,02/10/2019,Luton,Millwall,1,1,D,0,1,D,13,13,4,4,7,18,5,4,0,2,0,0,2.5,3.4,2.8,1410.409668,1441.331665
E1,12/03/2019,Blackburn,Wigan,3,0,H,1,0,H,18,11,9,1,12,13,5,6,3,4,0,0,2.3,3.4,3.4,1411.469482,1378.751099
E1,11/07/2020,Charlton,Reading,0,1,A,0,1,A,15,4,2,2,18,22,8,1,4,3,0,0,2.62,3.3,2.7,1411.970703,1483.499146
E1,07/03/2020,Charlton,Middlesbrough,0,1,A,0,1,A,13,23,3,4,9,10,3,9,2,1,0,0,3,3.25,2.45,1412.960815,1475.246704
E1,22/07/2020,Luton,Blackburn,3,2,H,2,1,H,8,14,1,4,10,12,2,6,4,1,0,0,1.72,3.75,4.75,1413.740601,1493.558594
E1,30/03/2019,Reading,Preston,2,1,H,2,0,H,13,11,3,2,10,8,1,6,0,1,0,0,3.3,3.4,2.35,1413.803101,1558.332642
E1,17/08/2019,Luton,West Brom,1,2,A,1,1,H,8,24,4,3,10,6,4,8,2,0,0,0,2.7,3.3,2.62,1413.939575,1608.884766
E1,27/06/2020,Barnsley,Millwall,0,0,D,0,1,D,9,9,5,1,12,16,4,8,2,2,0,0,2.62,3.25,2.75,1414.536377,1498.647217
E1,03/08/2019,Barnsley,Fulham,1,0,H,1,1,H,17,15,4,4,16,14,7,5,3,1,0,0,3.5,3.5,2.2,1414.670044,1585.537476
E1,02/08/2019,Luton,Middlesbrough,3,3,D,2,1,D,12,17,4,8,14,20,8,11,2,2,0,0,2.37,3.3,3.3,1414.670044,1543.349365
E1,22/12/2018,Blackburn,Norwich,0,1,A,0,0,D,10,11,1,4,12,14,6,4,2,3,0,0,3.1,3.4,2.45,1414.894165,1544.099487
E1,24/08/2019,Barnsley,Luton,1,3,A,0,1,A,17,16,5,7,17,12,8,8,3,1,0,0,2.15,3.4,3.25,1415.034546,1408.474365
E1,15/12/2018,Blackburn,Birmingham,2,2,D,1,0,H,8,12,5,6,11,13,2,2,1,2,0,0,2.45,3.3,3.2,1415.484863,1453.284424
E1,30/06/2020,Barnsley,Blackburn,2,0,H,0,1,D,12,10,5,5,12,12,3,3,1,2,0,1,2.5,3.3,2.9,1415.525635,1502.531006
E1,09/04/2019,Blackburn,Derby,2,0,H,0,0,D,23,6,5,1,10,13,9,3,2,0,0,0,3,3.4,2.5,1415.764404,1522.659668
E1,30/11/2019,Wigan,Reading,1,3,A,1,1,H,9,21,7,5,15,11,4,3,2,2,0,0,2.62,3.25,2.75,1415.888184,1443.692993
E1,11/07/2020,Hull,Millwall,0,1,A,0,1,A,12,10,5,2,20,9,2,4,2,0,0,0,3,3.4,2.37,1416.824951,1489.095337
E1,11/07/2020,Barnsley,Wigan,0,0,D,0,1,D,13,6,5,0,13,15,5,3,2,3,0,1,2.5,3.4,2.8,1417.089478,1491.279419
E1,11/01/2020,Wigan,Bristol City,0,2,A,0,1,D,17,6,7,3,9,10,5,6,1,1,0,0,2.35,3.4,3,1417.652954,1502.524048
E1,22/04/2019,Wigan,Preston,2,0,H,1,0,H,14,12,5,1,12,8,2,8,1,2,0,1,2.25,3.6,3.25,1417.67041,1529.684326
E1,26/02/2019,QPR,Leeds,1,0,H,0,0,D,13,11,5,4,14,14,2,13,4,1,0,0,4,3.6,2,1417.977295,1528.971191
E1,21/09/2019,Luton,Hull,0,3,A,0,1,D,6,14,2,4,7,17,5,4,0,2,0,0,2.2,3.4,3.25,1418.274414,1478.43811
E1,02/07/2020,Hull,Middlesbrough,2,1,H,1,1,D,8,14,3,3,18,21,0,5,1,1,0,0,3.5,3.2,2.2,1418.398682,1475.96582
E1,07/03/2020,Barnsley,Cardiff,0,2,A,0,1,D,6,13,0,7,10,16,3,8,0,0,0,0,2.35,3.4,3,1418.477051,1541.657593
E1,09/03/2019,Blackburn,Preston,0,1,A,0,1,A,20,6,5,3,11,7,8,5,2,0,0,1,2.8,3.4,2.65,1418.488647,1524.104614
E1,13/12/2019,Charlton,Hull,2,2,D,1,1,H,5,15,2,5,7,11,4,9,2,2,0,0,3.8,3.6,1.95,1418.560425,1509.978149
E1,11/02/2020,Wigan,Middlesbrough,2,2,D,1,1,H,6,9,4,2,16,13,3,6,5,3,1,0,2.5,3.2,2.9,1419.685547,1506.627563
E1,17/08/2019,Barnsley,Charlton,2,2,D,1,1,D,13,12,3,5,15,21,4,2,4,3,0,0,2,3.5,3.75,1419.93811,1438.377197
E1,17/02/2019,Blackburn,Middlesbrough,0,1,A,0,1,A,5,26,1,7,8,9,4,5,1,0,1,0,3,3.2,2.62,1419.953125,1539.719971
E1,22/01/2020,Charlton,Fulham,0,0,D,0,1,D,4,11,1,4,7,13,6,6,1,1,0,0,4.33,3.7,1.83,1420.577759,1572.741943
E1,13/04/2019,QPR,Swansea,4,0,H,3,0,H,15,9,7,1,13,10,8,8,4,1,0,0,3.1,3.5,2.4,1420.583496,1547.567261
E1,22/07/2020,Birmingham,Derby,1,3,A,0,1,A,13,7,4,5,14,5,4,4,0,0,0,0,2.7,3.2,2.62,1420.844116,1508.179443
E1,11/01/2020,Charlton,West Brom,2,2,D,1,1,D,7,19,2,5,10,14,5,5,2,6,0,0,5.5,4.2,1.57,1421.463623,1625.096313
E1,26/12/2019,Charlton,Bristol City,3,2,H,1,1,H,14,12,6,4,11,14,6,10,3,1,0,0,3.25,3.3,2.3,1421.947632,1521.791382
E1,03/07/2020,Charlton,Millwall,0,1,A,0,1,D,14,12,3,4,13,14,4,9,3,3,0,0,3.4,3,2.35,1422.142456,1496.675903
E1,10/12/2019,Charlton,Huddersfield,0,1,A,0,1,D,6,15,0,5,16,15,1,6,3,2,0,0,2.65,3.3,2.65,1423.045776,1458.30835
E1,06/04/2019,Blackburn,Stoke,0,1,A,0,1,A,11,8,3,3,12,9,5,4,2,0,0,0,2.7,3.25,2.87,1423.230103,1515.948608
E1,02/03/2019,Millwall,Norwich,1,3,A,1,1,D,17,11,8,7,11,11,8,6,2,0,0,0,3.6,3.4,2.2,1423.300903,1565.14209
E1,01/02/2020,Charlton,Barnsley,2,1,H,2,1,H,8,16,4,6,9,15,6,6,1,4,0,0,2.87,3.5,2.37,1423.34436,1395.533081
E1,31/08/2019,Luton,Huddersfield,2,1,H,0,1,D,13,13,4,3,18,14,6,9,2,2,0,0,2.05,3.4,3.6,1423.724731,1489.550171
E1,19/01/2019,Blackburn,Ipswich,2,0,H,0,0,D,16,11,4,3,14,18,6,5,2,1,0,0,1.75,3.6,5.75,1423.844604,1362.55249
E1,26/12/2018,Millwall,Reading,1,0,H,1,0,H,17,8,4,2,18,16,8,4,3,1,0,2,1.75,4,5,1424.271729,1381.184937
E1,22/02/2020,Charlton,Luton,3,1,H,1,1,D,12,9,3,2,10,8,6,5,2,1,0,0,2.2,3.4,3.25,1424.407471,1388.500366
E1,20/06/2020,Hull,Charlton,0,1,A,0,1,A,12,10,3,2,13,20,9,3,1,0,0,0,2.2,3.4,3.3,1425.313599,1398.981934
E1,21/09/2019,Wigan,Charlton,2,0,H,1,1,H,17,13,4,3,16,13,9,5,1,1,0,0,2.2,3.25,3.5,1425.562256,1450.59082
E1,19/02/2019,QPR,West Brom,2,3,A,1,1,D,13,11,4,6,12,9,4,9,0,1,0,0,3.2,3.5,2.35,1425.68396,1590.48645
E1,09/03/2019,QPR,Stoke,0,0,D,0,0,D,17,7,4,0,16,9,8,1,1,2,1,1,2.75,3.25,2.8,1425.771606,1509.321533
E1,10/08/2019,Charlton,Stoke,3,1,H,1,1,D,5,12,3,3,10,11,1,4,0,0,0,0,3.3,3.3,2.2,1425.94458,1509.541016
E1,22/02/2020,Wigan,Millwall,1,0,H,0,1,D,16,11,2,1,10,14,6,5,1,3,0,0,2.75,3,2.8,1426.618896,1510.258667
E1,13/03/2019,QPR,Rotherham,1,2,A,0,0,D,9,12,3,4,13,8,5,3,2,1,0,0,1.9,3.6,4.5,1426.726685,1372.894531
